2022-06-12 22:00:55,466 INFO    MainThread:3124 [wandb_setup.py:_flush():76] Loading settings from C:\Users\USER\.config\wandb\settings
2022-06-12 22:00:55,467 INFO    MainThread:3124 [wandb_setup.py:_flush():76] Loading settings from C:\Users\USER\Desktop\Task\wandb\settings
2022-06-12 22:00:55,467 INFO    MainThread:3124 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-06-12 22:00:55,467 INFO    MainThread:3124 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-06-12 22:00:55,467 INFO    MainThread:3124 [wandb_init.py:_log_setup():428] Logging user logs to C:\Users\USER\Desktop\Task\wandb\run-20220612_220055-2i9b6r5w\logs\debug.log
2022-06-12 22:00:55,467 INFO    MainThread:3124 [wandb_init.py:_log_setup():429] Logging internal logs to C:\Users\USER\Desktop\Task\wandb\run-20220612_220055-2i9b6r5w\logs\debug-internal.log
2022-06-12 22:00:55,467 INFO    MainThread:3124 [wandb_init.py:_jupyter_setup():378] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001E1E00E12E0>
2022-06-12 22:00:55,468 INFO    MainThread:3124 [wandb_init.py:init():462] calling init triggers
2022-06-12 22:00:55,468 INFO    MainThread:3124 [wandb_init.py:init():465] wandb.init called with sweep_config: {}
config: {'epochs': 20, 'classes': 5, 'batch_size': 128, 'learning_rate': 0.005, 'dataset': 'Flower recognition', 'architecture': 'DenseNet'}
2022-06-12 22:00:55,468 INFO    MainThread:3124 [wandb_init.py:init():515] starting backend
2022-06-12 22:00:55,468 INFO    MainThread:3124 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2022-06-12 22:00:55,471 INFO    MainThread:3124 [backend.py:ensure_launched():217] starting backend process...
2022-06-12 22:00:55,522 INFO    MainThread:3124 [backend.py:ensure_launched():222] started backend process with pid: 12284
2022-06-12 22:00:55,522 INFO    MainThread:3124 [wandb_init.py:init():525] backend started and connected
2022-06-12 22:00:55,537 INFO    MainThread:3124 [wandb_run.py:_label_probe_notebook():1089] probe notebook
2022-06-12 22:00:55,537 INFO    MainThread:3124 [wandb_run.py:_label_probe_notebook():1099] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-06-12 22:00:55,537 INFO    MainThread:3124 [wandb_init.py:init():596] updated telemetry
2022-06-12 22:00:55,537 INFO    MainThread:3124 [wandb_init.py:init():627] communicating run to backend with 30 second timeout
2022-06-12 22:00:57,253 INFO    MainThread:3124 [wandb_run.py:_on_init():1924] communicating current version
2022-06-12 22:00:57,561 INFO    MainThread:3124 [wandb_run.py:_on_init():1928] got version response 
2022-06-12 22:00:57,561 INFO    MainThread:3124 [wandb_init.py:init():662] starting run threads in backend
2022-06-12 22:01:02,574 INFO    MainThread:3124 [wandb_run.py:_console_start():1898] atexit reg
2022-06-12 22:01:02,574 INFO    MainThread:3124 [wandb_run.py:_redirect():1771] redirect: SettingsConsole.WRAP
2022-06-12 22:01:02,575 INFO    MainThread:3124 [wandb_run.py:_redirect():1808] Wrapping output streams.
2022-06-12 22:01:02,576 INFO    MainThread:3124 [wandb_run.py:_redirect():1832] Redirects installed.
2022-06-12 22:01:02,576 INFO    MainThread:3124 [wandb_init.py:init():688] run started, returning control to user process
2022-06-12 22:01:02,589 INFO    MainThread:3124 [wandb_watch.py:watch():47] Watching
